Date,AAPL,JPM,TSLA,^GSPC
2024-04-01,-0.008456,-0.00679,-0.003242,-0.002014
2024-04-02,-0.006999,-0.000402,-0.049024,-0.007239
2024-04-03,0.004797,-0.002816,0.010502,0.001091
2024-04-04,-0.004892,-0.007609,0.016213,-0.012334
2024-04-05,0.004502,0.0092,-0.036292,0.011099
2024-04-08,-0.006664,0.005217,0.048999,-0.000375
2024-04-09,0.007243,-0.006701,0.022546,0.001445
2024-04-10,-0.011139,-0.008521,-0.028946,-0.009457
2024-04-11,0.043271,-0.000205,0.016535,0.007445
2024-04-12,0.008627,-0.064678,-0.020332,-0.014551
2024-04-15,-0.021863,0.000547,-0.055949,-0.012021
2024-04-16,-0.019167,-0.011428,-0.027062,-0.002057
2024-04-17,-0.008147,-0.003982,-0.010566,-0.005781
2024-04-18,-0.005714,0.006497,-0.03551,-0.002208
2024-04-19,-0.012213,0.025104,-0.019209,-0.008759
2024-04-22,0.005091,0.019429,-0.034002,0.008731
2024-04-23,0.006392,0.014413,0.018515,0.011965
2024-04-24,0.012702,0.004892,0.120611,0.000213
2024-04-25,0.005147,0.001502,0.049651,-0.004576
2024-04-26,-0.003473,0.000621,-0.011106,0.010209
2024-04-29,0.024808,-0.001085,0.153069,0.003178
2024-04-30,-0.018271,-0.007968,-0.055501,-0.015731
2024-05-01,-0.006047,0.000626,-0.017951,-0.003435
2024-05-02,0.022032,-0.001042,0.000111,0.009128
2024-05-03,0.059816,-0.006,0.006555,0.012557
2024-05-06,-0.009107,0.007821,0.019703,0.010326
2024-05-07,0.003797,-0.001302,-0.037616,0.001343
2024-05-08,0.001864,0.020339,-0.017378,-6e-06
2024-05-09,0.010014,0.009456,-0.015739,0.005091
2024-05-10,-0.00689,0.00643,-0.020352,0.001649
2024-05-13,0.017645,-0.000201,0.0203,-0.000241
2024-05-14,0.006173,0.013989,0.032928,0.004838
2024-05-15,0.012218,0.002978,-0.020051,0.011716
2024-05-16,0.000632,0.001781,0.004885,-0.002082
2024-05-17,0.000158,0.011458,0.014985,0.001165
2024-05-20,0.006162,-0.044973,-0.014144,0.000916
2024-05-21,0.006857,0.020145,0.066591,0.002502
2024-05-22,-0.007538,-0.006065,-0.03478,-0.002706
2024-05-23,-0.021058,-0.007009,-0.035367,-0.007381
2024-05-24,0.016588,0.019246,0.031656,0.007001
2024-05-28,5.3e-05,-0.006029,-0.013892,0.000249
2024-05-29,0.001579,-0.006967,-0.003168,-0.007367
2024-05-30,0.005255,0.006158,0.014757,-0.005975
2024-05-31,0.005019,0.016555,-0.003971,0.008028
2024-06-03,0.009259,-0.003997,-0.010052,0.001116
2024-06-04,0.001649,-0.01318,-0.008622,0.001503
2024-06-05,0.007821,-0.00954,0.001316,0.011848
2024-06-06,-0.007097,-0.001774,0.0168,-0.0002
2024-06-07,0.012392,0.015439,-0.002585,-0.001115
2024-06-10,-0.019148,-0.0017,-0.020791,0.002581
2024-06-11,0.072649,-0.026301,-0.01801,0.00271
2024-06-12,0.028578,-0.014561,0.038849,0.008504
2024-06-13,0.005491,0.011121,0.029218,0.002345
2024-06-14,-0.008168,0.00062,-0.024442,-0.000394
2024-06-17,0.019671,0.006193,0.052975,0.007664
2024-06-18,-0.010985,0.01036,-0.013764,0.002521
2024-06-20,-0.021513,0.008477,-0.017797,-0.002526
2024-06-21,-0.010445,-0.011929,0.007931,-0.001562
2024-06-24,0.003133,0.013143,-0.00235,-0.003065
2024-06-25,0.004468,-0.004073,0.026126,0.003934
2024-06-26,0.019993,-0.003231,0.048145,0.001572
2024-06-27,0.003986,0.008813,0.005347,0.000907
2024-06-28,-0.016254,0.015514,0.00233,-0.004084
2024-07-01,0.029105,0.015772,0.060542,0.002676
2024-07-02,0.01624,0.016452,0.101973,0.006195
2024-07-03,0.005811,-0.00067,0.065424,0.005084
2024-07-05,0.02162,-0.013251,0.020821,0.005449
2024-07-08,0.006539,0.001856,0.005646,0.001017
2024-07-09,0.003775,0.01199,0.037123,0.000741
2024-07-10,0.018804,0.000819,0.003545,0.010208
2024-07-11,-0.023221,-0.001684,-0.084441,-0.008763
2024-07-12,0.013051,-0.012099,0.029872,0.005517
2024-07-15,0.016743,0.024934,0.017766,0.002826
2024-07-16,0.001792,0.016996,0.015516,0.006389
2024-07-17,-0.025296,0.015214,-0.031416,-0.013928
2024-07-18,-0.020535,-0.03177,0.002938,-0.007816
2024-07-19,0.00058,-0.000952,-0.040244,-0.00714
2024-07-22,-0.00156,0.002383,0.051463,0.010792
2024-07-23,0.004688,0.000238,-0.020397,-0.001558
2024-07-24,-0.028754,-0.008273,-0.123346,-0.023149
2024-07-25,-0.004805,0.000383,0.019723,-0.005143
2024-07-26,0.002161,0.017108,-0.002043,0.01109
2024-07-29,0.001285,-0.006549,0.05596,0.000813
2024-07-30,0.002566,0.020583,-0.040845,-0.00496
2024-07-31,0.014991,-0.011106,0.042449,0.015793
2024-08-01,-0.016751,-0.022744,-0.065541,-0.013694
2024-08-02,0.006869,-0.042412,-0.042378,-0.018382
2024-08-05,-0.048167,-0.021292,-0.042327,-0.029969
2024-08-06,-0.009748,0.027912,0.00885,0.010354
2024-08-07,0.012498,0.000299,-0.044258,-0.007735
2024-08-08,0.016633,0.018263,0.036921,0.023043
2024-08-09,0.013736,0.008527,0.005834,0.004672
2024-08-12,0.00713,0.001895,-0.01255,4.3e-05
2024-08-13,0.017193,0.008487,0.052357,0.016848
2024-08-14,0.002034,0.011061,-0.031035,0.003824
2024-08-15,0.013531,0.006231,0.063363,0.016133
2024-08-16,0.005919,0.011439,0.009246,0.00199
2024-08-19,-0.000708,0.006917,0.030539,0.009722
2024-08-20,0.002745,-0.004317,-0.007274,-0.001985
2024-08-21,-0.000486,0.000373,0.009815,0.00424
2024-08-22,-0.00826,0.009459,-0.056479,-0.008933
2024-08-23,0.010288,0.007755,0.045856,0.011483
2024-08-26,0.001499,0.003939,-0.032271,-0.003154
2024-08-27,0.003742,0.004608,-0.018761,0.001595
2024-08-28,-0.006754,0.005041,-0.016538,-0.005976
2024-08-29,0.01457,0.004158,0.002576,-3.9e-05
2024-08-30,-0.003438,0.011656,0.037958,0.010093
2024-09-03,-0.027205,-0.020018,-0.016393,-0.021151
